Device,Kernel,M,N,K,Total Problem Size (KiB),sparsity,Iterations,Total Seconds,GFLOP/s
gpu_offloadOnce,sgemm,34,34,34,13.547,0.99000001,2,0.00022,0.733
gpu_offloadAlways,sgemm,34,34,34,13.547,0.99000001,2,0.00032,0.505
gpu_unified,sgemm,34,34,34,13.547,0.99000001,2,0.00071,0.224
cpu,sgemm,35,35,35,14.355,0.99000001,2,0.00001,13.967
gpu_offloadOnce,sgemm,35,35,35,14.355,0.99000001,2,0.00022,0.807
gpu_offloadAlways,sgemm,35,35,35,14.355,0.99000001,2,0.00024,0.731
gpu_unified,sgemm,35,35,35,14.355,0.99000001,2,0.00072,0.241
cpu,sgemm,36,36,36,15.188,0.99000001,2,0.00001,16.060
gpu_offloadOnce,sgemm,36,36,36,15.188,0.99000001,2,0.00020,0.929
gpu_offloadAlways,sgemm,36,36,36,15.188,0.99000001,2,0.00024,0.801
gpu_unified,sgemm,36,36,36,15.188,0.99000001,2,0.00072,0.262
cpu,sgemm,37,37,37,16.043,0.99000001,2,0.00001,15.515
gpu_offloadOnce,sgemm,37,37,37,16.043,0.99000001,2,0.00020,1.010
gpu_offloadAlways,sgemm,37,37,37,16.043,0.99000001,2,0.00023,0.882
gpu_unified,sgemm,37,37,37,16.043,0.99000001,2,0.00071,0.288
cpu,sgemm,38,38,38,16.922,0.99000001,2,0.00001,16.430
gpu_offloadOnce,sgemm,38,38,38,16.922,0.99000001,2,0.00023,0.950
gpu_offloadAlways,sgemm,38,38,38,16.922,0.99000001,2,0.00024,0.940
gpu_unified,sgemm,38,38,38,16.922,0.99000001,2,0.00070,0.317
cpu,sgemm,39,39,39,17.824,0.99000001,2,0.00001,17.006
gpu_offloadOnce,sgemm,39,39,39,17.824,0.99000001,2,0.00029,0.840
gpu_offloadAlways,sgemm,39,39,39,17.824,0.99000001,2,0.00024,1.000
gpu_unified,sgemm,39,39,39,17.824,0.99000001,2,0.00082,0.294
cpu,sgemm,40,40,40,18.750,0.99000001,2,0.00001,19.159
gpu_offloadOnce,sgemm,40,40,40,18.750,0.99000001,2,0.00029,0.902
gpu_offloadAlways,sgemm,40,40,40,18.750,0.99000001,2,0.00024,1.079
gpu_unified,sgemm,40,40,40,18.750,0.99000001,2,0.00074,0.352
cpu,sgemm,41,41,41,19.699,0.99000001,2,0.00001,18.890
gpu_offloadOnce,sgemm,41,41,41,19.699,0.99000001,2,0.00025,1.114
gpu_offloadAlways,sgemm,41,41,41,19.699,0.99000001,2,0.00027,1.023
gpu_unified,sgemm,41,41,41,19.699,0.99000001,2,0.00072,0.388
cpu,sgemm,42,42,42,20.672,0.99000001,2,0.00001,20.236
gpu_offloadOnce,sgemm,42,42,42,20.672,0.99000001,2,0.00024,1.226
gpu_offloadAlways,sgemm,42,42,42,20.672,0.99000001,2,0.00027,1.102
gpu_unified,sgemm,42,42,42,20.672,0.99000001,2,0.00073,0.412
cpu,sgemm,43,43,43,21.668,0.99000001,2,0.00012,2.641
gpu_offloadOnce,sgemm,43,43,43,21.668,0.99000001,2,0.00034,0.950
gpu_offloadAlways,sgemm,43,43,43,21.668,0.99000001,2,0.00040,0.806
gpu_unified,sgemm,43,43,43,21.668,0.99000001,2,0.00076,0.425
cpu,sgemm,44,44,44,22.688,0.99000001,2,0.00003,13.700
gpu_offloadOnce,sgemm,44,44,44,22.688,0.99000001,2,0.00035,0.998
gpu_offloadAlways,sgemm,44,44,44,22.688,0.99000001,2,0.00039,0.889
gpu_unified,sgemm,44,44,44,22.688,0.99000001,2,0.00081,0.424
cpu,sgemm,45,45,45,23.730,0.99000001,2,0.00003,14.179
gpu_offloadOnce,sgemm,45,45,45,23.730,0.99000001,2,0.00033,1.112
gpu_offloadAlways,sgemm,45,45,45,23.730,0.99000001,2,0.00041,0.897
gpu_unified,sgemm,45,45,45,23.730,0.99000001,2,0.00075,0.492
cpu,sgemm,46,46,46,24.797,0.99000001,2,0.00003,14.811
gpu_offloadOnce,sgemm,46,46,46,24.797,0.99000001,2,0.00045,0.875
gpu_offloadAlways,sgemm,46,46,46,24.797,0.99000001,2,0.00043,0.910
gpu_unified,sgemm,46,46,46,24.797,0.99000001,2,0.00076,0.518
cpu,sgemm,47,47,47,25.887,0.99000001,2,0.00003,15.646
gpu_offloadOnce,sgemm,47,47,47,25.887,0.99000001,2,0.00033,1.266
gpu_offloadAlways,sgemm,47,47,47,25.887,0.99000001,2,0.00043,0.968
gpu_unified,sgemm,47,47,47,25.887,0.99000001,2,0.00075,0.559
cpu,sgemm,48,48,48,27.000,0.99000001,2,0.00003,16.450
gpu_offloadOnce,sgemm,48,48,48,27.000,0.99000001,2,0.00028,1.569
gpu_offloadAlways,sgemm,48,48,48,27.000,0.99000001,2,0.00034,1.305
gpu_unified,sgemm,48,48,48,27.000,0.99000001,2,0.00074,0.605
cpu,sgemm,49,49,49,28.137,0.99000001,2,0.02032,0.023
gpu_offloadOnce,sgemm,49,49,49,28.137,0.99000001,2,0.00042,1.135
gpu_offloadAlways,sgemm,49,49,49,28.137,0.99000001,2,0.00044,1.069
gpu_unified,sgemm,49,49,49,28.137,0.99000001,2,0.00085,0.559
cpu,sgemm,50,50,50,29.297,0.99000001,2,0.00003,15.170
gpu_offloadOnce,sgemm,50,50,50,29.297,0.99000001,2,0.00035,1.456
gpu_offloadAlways,sgemm,50,50,50,29.297,0.99000001,2,0.00040,1.278
gpu_unified,sgemm,50,50,50,29.297,0.99000001,2,0.00075,0.672
cpu,sgemm,51,51,51,30.480,0.99000001,2,0.00003,16.773
gpu_offloadOnce,sgemm,51,51,51,30.480,0.99000001,2,0.00033,1.606
gpu_offloadAlways,sgemm,51,51,51,30.480,0.99000001,2,0.00039,1.363
gpu_unified,sgemm,51,51,51,30.480,0.99000001,2,0.00075,0.714
cpu,sgemm,52,52,52,31.688,0.99000001,2,0.00005,11.757
gpu_offloadOnce,sgemm,52,52,52,31.688,0.99000001,2,0.00039,1.444
gpu_offloadAlways,sgemm,52,52,52,31.688,0.99000001,2,0.00040,1.436
gpu_unified,sgemm,52,52,52,31.688,0.99000001,2,0.00074,0.764
cpu,sgemm,53,53,53,32.918,0.99000001,2,0.00003,17.228
gpu_offloadOnce,sgemm,53,53,53,32.918,0.99000001,2,0.00034,1.770
gpu_offloadAlways,sgemm,53,53,53,32.918,0.99000001,2,0.00039,1.560
gpu_unified,sgemm,53,53,53,32.918,0.99000001,2,0.00075,0.797
cpu,sgemm,54,54,54,34.172,0.99000001,2,0.03020,0.021
gpu_offloadOnce,sgemm,54,54,54,34.172,0.99000001,2,0.00146,0.436
gpu_offloadAlways,sgemm,54,54,54,34.172,0.99000001,2,0.00148,0.429
gpu_unified,sgemm,54,54,54,34.172,0.99000001,2,0.00225,0.283
cpu,sgemm,55,55,55,35.449,0.99000001,2,0.00031,2.136
gpu_offloadOnce,sgemm,55,55,55,35.449,0.99000001,2,0.00131,0.512
